             x1         x2  y
1   0.830447626 0.53229026  0
2   0.519095949 0.16033573 -1
3   0.736588315 0.51956702  0
4   0.117487362 0.08037847  0
5   0.904031387 0.24120257 -1
6   0.446969628 0.21847564 -1
7   0.003948339 0.58449974  1
8   0.379559241 0.78697117  1
9   0.346748248 0.76462284  1
10  0.675607275 0.97830263  0
11  0.240544740 0.33828357  0
12  0.140479094 0.87043248  1
13  0.719355838 0.67205829  0
14  0.007884739 0.11867222  1
15  0.001570554 0.57483934  1
16  0.933034127 0.37092142 -1
17  0.743974646 0.70750661  0
18  0.388945029 0.01153723 -1
19  0.535761290 0.54167698  0
20  0.608937453 0.37490846  0
21  0.356721999 0.79228232  1
22  0.850482751 0.77349324  0
23  0.764507759 0.24185309 -1
24  0.149072052 0.07008263 -1
25  0.550494084 0.66325314  0
26  0.535236611 0.07504278 -1
27  0.411872071 0.44618063  0
28  0.414049682 0.60629547  0
29  0.136490360 0.18266508  0
30  0.769032426 0.12514859 -1
31  0.316975238 0.45416867  0
32  0.742266452 0.47127650  0
33  0.133329618 0.26931140  1
34  0.129089284 0.85839303  1
35  0.112308242 0.05902965 -1
36  0.542015941 0.42147390  0
37  0.060949746 0.19479244  1
38  0.451310850 0.16678304 -1
39  0.353350377 0.26807011  0
40  0.547426078 0.79848097  0
41  0.313683822 0.12945369 -1
42  0.245674147 0.90845233  1
43  0.070721894 0.36934622  1
44  0.940564878 0.01143825 -1
45  0.188434330 0.20562383  0
46  0.618951547 0.28717004 -1
47  0.187356712 0.36398465  1
48  0.315260797 0.77729724  1
49  0.032517483 0.56400826  1
50  0.930604886 0.64154075  0
51  0.158846775 0.39175297  1
52  0.496903428 0.93225668  1
53  0.901070478 0.05710704 -1
54  0.279806696 0.34853934  0
55  0.564822223 0.83329338  0
56  0.935139505 0.79032899  0
57  0.358400145 0.53140906  0
58  0.923988452 0.02233104 -1
59  0.399272951 0.00570667 -1
60  0.292219521 0.53022388  1
61  0.409132091 0.25097807  0
62  0.739890776 0.50103972  0
63  0.685520953 0.46785222  0
64  0.497464488 0.83222180  0
65  0.279573499 0.33181808  0
66  0.582578436 0.24336405 -1
67  0.758270113 0.85278603  0
68  0.108488654 0.97325845  1
69  0.280124627 0.23929253  0
70  0.963689526 0.46907992 -1
71  0.086083406 0.90237551  1
72  0.656810875 0.33227424 -1
73  0.630726152 0.66360441  0
74  0.418771624 0.18236933 -1
75  0.879265945 0.83833876  0
76  0.385907176 0.66724544  0
77  0.124895827 0.94109937  1
78  0.060048336 0.84899369  1
79  0.339905646 0.13811264 -1
80  0.689918605 0.87092716  0
81  0.514157372 0.57708774  0
82  0.514923016 0.79917257  0
83  0.016448186 0.52371225  1
84  0.482923875 0.10037002 -1
85  0.807718994 0.79851508  0
86  0.430925568 0.73592037  0
87  0.672568153 0.29960451 -1
88  0.639984270 0.57111396  0
89  0.001433898 0.71411155  1
90  0.596472047 0.18053917 -1
91  0.840877033 0.28316093 -1
92  0.132203777 0.26061959  1
93  0.083695294 0.05451810  0
94  0.484167741 0.27028753 -1
95  0.165678247 0.67806456  1
96  0.893421787 0.89433560  0
97  0.146572394 0.87416724  1
98  0.150597600 0.06677859 -1
99  0.808601795 0.27452580 -1
100 0.690351658 0.76586299  0
101 0.032044824 0.76672152  1
102 0.478468887 0.94074969  1
103 0.266520578 0.42278545  0
104 0.961343576 0.26785151 -1
105 0.666971338 0.11166910 -1
106 0.904898398 0.17971388 -1
107 0.137517759 0.28858289  1
108 0.885793877 0.59652571  0
109 0.772864650 0.19720563 -1
110 0.284574130 0.88093951  1
111 0.759444723 0.14788544 -1
112 0.206570025 0.48754465  1
113 0.607840595 0.36069523  0
114 0.919525086 0.87189238  0
115 0.450774037 0.08434011 -1
116 0.805811213 0.01416141 -1
117 0.498156590 0.61588555  0
118 0.282764225 0.05021324 -1
119 0.515551182 0.15845119 -1
120 0.477950773 0.21187428 -1
121 0.441774150 0.15664352 -1
122 0.476919189 0.26257352 -1
123 0.471713925 0.39787890  0
124 0.474471707 0.87072270  1
125 0.338586961 0.31303781  0
126 0.242058119 0.80749841  1
127 0.313981685 0.62878623  1
128 0.575004068 0.92874539  0
129 0.354160399 0.88100321  1
130 0.922261254 0.86587259  0
131 0.954902933 0.56877879  0
132 0.312179648 0.23646776  0
133 0.560707851 0.25548023 -1
134 0.082716837 0.46032826  1
135 0.548420829 0.57663370  0
136 0.876434699 0.29707472 -1
137 0.912029979 0.32043453 -1
138 0.765520479 0.05391100 -1
139 0.505044580 0.95509577  1
140 0.325131266 0.01136992 -1
141 0.138182841 0.49236440  1
142 0.815184900 0.29574202 -1
143 0.673435814 0.17042672 -1
144 0.778269295 0.66585378  0
145 0.087635909 0.88433597  1
146 0.962896824 0.45828936 -1
147 0.140778356 0.75027506  1
148 0.422439390 0.77812216  1
149 0.097644659 0.95669587  1
150 0.198000578 0.12010620  0
151 0.951921815 0.06923679 -1
152 0.625587092 0.60238739  0
153 0.690880850 0.82409259  0
154 0.670760134 0.01092483 -1
155 0.824081728 0.15073245 -1
