              x1          x2  y
1   0.9148060435 0.909047515  0
2   0.9370754133 0.899924811  0
3   0.2861395348 0.192349254  0
4   0.6417455189 0.522124741  0
5   0.1346665972 0.224503509  0
6   0.6569922904 0.281511990 -1
7   0.7050647840 0.503687580  0
8   0.4577417762 0.158960649 -1
9   0.7191122517 0.920630739  0
10  0.9346722472 0.499029460 -1
11  0.2554288243 0.615344077  1
12  0.4622928225 0.743930877  0
13  0.9400145228 0.616818211  0
14  0.9782264284 0.930141046  0
15  0.4749970816 0.028121191 -1
16  0.5603327462 0.541528469  0
17  0.1387101677 0.644837522  1
18  0.9888917289 0.377736799 -1
19  0.9466682326 0.046853687 -1
20  0.0824375581 0.048140499  0
21  0.5142117843 0.962842692  1
22  0.3902034671 0.226466750  0
23  0.9057381309 0.011393570 -1
24  0.8360042600 0.055937569 -1
25  0.7375956178 0.234972147 -1
26  0.8110551413 0.402696270 -1
27  0.3881082828 0.014304436 -1
28  0.6851697294 0.361763168 -1
29  0.8329160803 0.605793738  0
30  0.0073341469 0.263718613  1
31  0.2076589728 0.675148677  1
32  0.9066014078 0.935806216  0
33  0.6117786434 0.003591406 -1
34  0.4357715850 0.806933147  1
35  0.0374310329 0.073038385  1
36  0.9735399138 0.566999304  0
37  0.4317512489 0.539190846  0
38  0.9575765966 0.137675155 -1
39  0.8877549055 0.276332649 -1
40  0.6399787695 0.351843507 -1
41  0.9709666104 0.812805236  0
42  0.6188382073 0.171541348 -1
43  0.3334272113 0.521162093  0
44  0.3984854114 0.288755647  0
45  0.7846927757 0.436778316 -1
46  0.0389364911 0.669450758  1
47  0.7487953862 0.036923782 -1
48  0.6772768302 0.560646349  0
49  0.1712643304 0.932383237  1
50  0.2610879638 0.434622492  0
51  0.5144129347 0.936232617  1
52  0.9828171979 0.676762289  0
53  0.7595442676 0.298268895 -1
54  0.5664884241 0.208253395 -1
55  0.8496897186 0.318896429 -1
56  0.1894739354 0.854374968  1
57  0.2712866147 0.061059907 -1
58  0.8281584852 0.182046106 -1
59  0.6932048204 0.483836601  0
60  0.0429887960 0.813362698  1
61  0.2163854151 0.019161279 -1
62  0.4793985642 0.824748182  0
63  0.1974103423 0.401268495  1
64  0.3754899646 0.476424339  0
65  0.5144077083 0.925339964  1
66  0.5816040025 0.912751580  0
67  0.1579052082 0.755301924  1
68  0.3590283059 0.630999924  1
69  0.6456318784 0.794420650  0
70  0.7758233626 0.923546462  0
71  0.5636468416 0.164468810 -1
72  0.2337033986 0.192883944  0
73  0.0899805163 0.097642665  0
74  0.0856120649 0.829109395  1
75  0.3052183695 0.805863958  1
76  0.6674265147 0.279269986 -1
77  0.0002388966 0.449029579  1
78  0.2085699569 0.625878707  1
79  0.9256447486 0.382318948 -1
80  0.7340943010 0.914480876  0
81  0.3330719834 0.390297755  0
82  0.5150633298 0.070293759 -1
83  0.6191592400 0.692996814  0
84  0.6262453445 0.096147290 -1
85  0.2171576982 0.036903230 -1
86  0.2165673110 0.400940121  1
87  0.9424556920 0.567891016  0
88  0.9626080138 0.944949926  0
89  0.7398552792 0.343302177 -1
90  0.7332459057 0.244498280 -1
91  0.0022729661 0.117704378  1
92  0.8368015594 0.327511117 -1
93  0.7515225627 0.947205751  0
94  0.4527315726 0.910574912  1
95  0.5357899938 0.762444715  0
96  0.5373766953 0.758074916  0
97  0.0013808436 0.998490834  1
98  0.3556659538 0.580401405  0
99  0.6121330902 0.213284181 -1
100 0.8289421306 0.133551898 -1
101 0.4106351258 0.981905837  1
102 0.5734758989 0.982048793  0
103 0.5896783036 0.125443475 -1
104 0.7196572924 0.618285144  0
105 0.3949730452 0.858186804  1
106 0.9192039291 0.139387536 -1
107 0.9625702936 0.366580521 -1
108 0.2335235255 0.157130227  0
109 0.7244976000 0.447839834  0
110 0.9036345251 0.485874579 -1
111 0.6034740848 0.950203040  0
112 0.6315072989 0.904753880  0
113 0.9373858497 0.940164702  0
114 0.5798208991 0.092210986 -1
115 0.8214039239 0.016243430 -1
116 0.1137186091 0.333509587  1
117 0.6236134572 0.792070718  0
118 0.1484466067 0.496387038  1
119 0.0802644666 0.513879090  1
120 0.4640695513 0.072401879 -1
121 0.7793681615 0.345139100 -1
122 0.7335279596 0.756324941  0
123 0.8172304444 0.385119046 -1
124 0.1701624813 0.006921040 -1
125 0.9447203255 0.718439230  0
126 0.2936238414 0.556969332  1
127 0.7193785913 0.347816531 -1
128 0.3240859525 0.413005555  0
129 0.7788094985 0.311655199 -1
130 0.3944410018 0.737567968  1
131 0.6785928679 0.388340284 -1
132 0.7758250427 0.619424278  0
133 0.1878690440 0.623541268  1
134 0.0290858189 0.802412331  1
135 0.1357137971 0.654067937  1
136 0.6801641781 0.679453118  0
137 0.9348229538 0.410754823 -1
138 0.6017662354 0.027117778 -1
139 0.1969944881 0.815928965  1
140 0.1795557393 0.900965292  1
141 0.4518864944 0.070827235 -1
142 0.3170533518 0.191123383  0
143 0.1161746704 0.776929248  1
144 0.1861021568 0.203133504  0
145 0.7297300966 0.403764511 -1
146 0.4803101290 0.576445743  0
147 0.4274944656 0.059506766 -1
148 0.8246794064 0.296121662 -1
149 0.5923042425 0.376079086  0
150 0.7943969776 0.713095942  0
151 0.9180564173 0.429233435 -1
152 0.8626297771 0.030377039 -1
153 0.2592605760 0.794308127  1
154 0.7473611168 0.236389611 -1
155 0.9179040340 0.887035017  0
156 0.7931912092 0.125952785 -1
157 0.2877497522 0.882458147  1
158 0.1946761438 0.750519822  1
159 0.7841093827 0.097692942 -1
160 0.1288721617 0.815567016  1
161 0.0722531113 0.117157300  0
162 0.0531294835 0.137397162  1
163 0.5318744364 0.548256997  0
164 0.7431877197 0.495523291  0
165 0.7313154773 0.007417523 -1
166 0.8851176871 0.848293222  0
167 0.5171110556 0.062746332 -1
168 0.8519309850 0.819845088  0
169 0.4427962683 0.539360294  0
170 0.1578801004 0.499020099  1
171 0.4423246388 0.022227321 -1
172 0.9677336672 0.554093135 -1
173 0.4845879294 0.719897603  0
174 0.2524584394 0.235715229  0
175 0.2596899802 0.811879681  1
176 0.6498758376 0.564910551  0
177 0.3364191323 0.151690785 -1
178 0.8387550334 0.835109572  0
179 0.5746373343 0.111078399 -1
180 0.8927185938 0.298929408 -1
181 0.4899905706 0.867568752  1
182 0.1716321132 0.039423247 -1
183 0.5430309940 0.339823510  0
184 0.9614676959 0.309596095 -1
185 0.8205145481 0.373834485 -1
186 0.3070544004 0.464965629  0
187 0.1854535812 0.046608189 -1
188 0.0483467767 0.987516199  1
189 0.3511069221 0.979390147  1
190 0.1590223818 0.170472214  0
191 0.3040979968 0.042734374 -1
192 0.0175483248 0.142832364  1
193 0.9965526792 0.360580842 -1
